Basvuru Tarihi	Baþvuru Numarasý	Buluþ Baþlýðý	Buluþ Sahibi	Proje Kodu	Proje Ýsmi	Ýlgili olduðu Ürün&Servisler	Özet
2009	2009/10014	Sim Kartlarýn GSM Sistemlerine Tanýtým Maliyetlerinin Düþürüldüðü Bir Sistem	Alp Sardað-Rahmi Cem Çevikbaþ				Bu buluþ, STK uygulamasý yüklenen en az bir SIM karta sahip en az bir cihaz, en az bir SIM kart tanýmlama merkezi sistemi en az bir HLR ve CAS sistemleri kullanarak SIM kartlarýn GSM sistemlerine tanýtým maliyetlerini düþüren bir sistemle ilgilidir.
2009	2009/09976	Bir Kýsa Mesaj Ýletim Sistemi	Sercan Madak- Saner Kurbay				Bu buluþ, SMS servis kontrol fonksiyonlarý için mobil aðlarýn geliþmiþ mantýklarýna özel uygulamalarýn Faz3 standardýnýn, bu standardý desteklemeyen operatörlerde de çalýþmasýný saðlayan bir kýsa mesaj iletim sistemi ile ilgilidir.
2009	2009/10012	Uluslararasý Dolaþým Maliyetlerinin Azaltýldýðý Bir Yöntem	Alp Sardað				Bu buluþ, birden fazla ülkede GSM operatörü olarak hizmet veren operatörlerin abonelerinin, bulunduklarý ülkede eðer varsa abonenin SIM kartýnýn kendi operatörünün otomatik olarak seçilmesini saðlayarak uluslararasý dolaþým maliyetlerini düþüren bir yöntem ile ilgilidir. 
2009	2009/10013	Bir Asimetrik Þifreleme Sistemi	Mehmet Emin Özgül				Bu buluþ, asimetrik þifreleme yöntemleri ile güvenli H.324m görüþmeleri yapýlmasýný saðlayan bir sistem ile ilgilidir.
2009	2009/10011	Televizyonlar Ýçin Bir Að Eriþim Sistemi	Mehmet Emin Özgül				Bu buluþ, televizyon üzerinde olasý en az deðiþiklik ve eklenti yapýlarak televizyonlarda mevcut olan standart iletiþim, ses, görüntü iþareti giriþ cýkýþlarý ve standart kullanýcý kontrol ara yüzlerini kullanarak að eriþiminin saðlandýðý ve televizyonun programlama, bakým, güncelleme, kontrol ve teknik bakým amaçlarýyla uzaktan yönetilmesini saðlayan bir að eriþim sistemi ile ilgilidir.
2009	2009/10108	Zihinsel Durum Analiz Sistemi ve Yöntemi	Özgür Devrim Orman				Bu buluþ, yazýlým geliþtiren kullanýcýlarýn konsantrasyon seviyelerini çeþitli parametrelerle ölçen, deðerlendiren ve raporlayan bir zihinsel durum analiz sistemi ve yöntemi ile ilgilidir.
2009	2009/10109	Yasadýþý Taþýyýcý Tespit Platformu ve Yöntemi	Sinan Þengüder- Onur Bük- Bülent Köksal				Bu buluþ, yasadýþý olarak, yurtdýþýndan gelen trafiði, yurtiçi kaynaklý çaðrýymýþ gibi GSM sistemine sokan simbox olarak tanýmlanan MS-ISDN numarlarýnýn yakalanmasý için yasadýþý taþýyýcý tespit platformu ve yöntemi ile ilgilidir. 
2009	2009/10110	Çaðrý Kalitesi Ölçme Platformu ve Yöntemi	Sinan Þengüder- Onur Bük- Bülent Köksal				Bu buluþ, CAMEL destekleyen operatörlerde, roaming yapmakta olan faturalý abonelerin HPLMN'ye doðru yapýlan çaðrýlarýnýn ses kalitesini ölçen bir çaðrý kalitesi ölçme platformu ve yöntemi ile ilgilidir.
2009	2009/10111	Bir Görüntü Tanýma Sistemi	Mehmet Emin Özgül				Bu buluþ, üçüncü nesil aðlar ile yaygýnlaþan görüntülü görüþme kullanýlarak görüntülerin iþlenmesi, tanýnmasý ve tanýnan görüntüya baðlý aksiyonlar alýnarak kullanýmý kolay ve eðlenceli bir görüntü tanýma sistemi ile ilgilidir. 
							
2010	2010/10285	Örüntü Tanýmayý ve Eþleþtirmeyi Saðlayan Bir Sistem ve Yöntem	Oðuz Demirci				Bu  buluþ görüntülü çaðrý vasýtasýyla örüntü tanmayý ve eþleþtirmeyi saðlayan bir sistem ve yöntemle ilgilidir. 
2010	2010/10286	Kazara Uluslararasý Dolaþýmý Önleyen ve Abonelerin Yönlendirilmesini Saðlayan Bir Sistem ve Yöntem	Bahri Okuroðlu				Bu buluþ, GSM abonelerinin kazara komþu ülke operatörlerinden servis almasýný engelleyen kazara uluslararasý dolaþým önleme sistemi ile GSM operatörlerinin abonelerini yabancý ülkelerde istedikleri operatörlere yönlendirilmesini saðlayan abone yönlendirme sisteminin efektif bir etkileþim içerisinde çalýþmasýný saðlayan bir sistem ve yöntemle ilgilidir. 
2010	2010/10287	Bir Otomatik Filtre Üretim Sistemi ve Yöntemi	Sevcen Sökmen - Onur Sarkan				Bu buluþ, GSM sistemlerinde kýsa süre içerisinde oluþup kaybolan ve önemli etkileri olmayan hata ve uyarý alarmlarýnýn filtrelenmesini saðlayan bir otomatik filtre üretim sistemi ve yöntemi ile ilgilidir. 
2010	2010/10383	Bir Zamanlanmýþ Mesaj Gönderim Sistemi	Selçuk Saraç				Bu buluþ, kontrol birimine sahip olan mobil cihaz, mobil cihazýn gönderdiði mesajýn iletilmesini saðlayan iletim ortamý, kullanýcýnýn mobil cihazý vasýtasýyla ilettiði mesajý ayarlanan tarih ve saatte alan ve kontrol birimine sahip olan mobil cihaz, kullanýcýnýn mobil cihazý vasýtasýyla ilettiði mesajý iletim ortamýndan alan ve söz konusu mesajýn ayný mobil cihaza tekli veya çoklu gönderim þeklinde istenilen tarih ve saatte iletilmesini saðlayan sunucu içeren bir sistem ile ilgilidir.
2010	2010/10689	Hileli Cevap Tespitini Saðlayan Bir Sistem ve Yöntem	Sinan Þengüder- Onur Bük				Bu buluþ, CAMEL destekleyen operatörlerde, dolaþýn yapmakta olan faturalý abonelerin yerel mobil þebekelere doðru yaptýklarý çaðrýlarda meydana gelebilecek hileli cevaplarý saptama sistemi ve yöntemi ile ilgilidir. 
2010	2010/10690	Kullanýcýnýn Bulunduðu Durumu Algýlama Sistemi ve Yöntemi	Can Hüzmeli				Bu buluþ, kullanýcýlarýn bulunduðu durumu algýlamayý saðlayan bir sistem ve yöntemle ilgilidir.
2010	2010/10737	Bir Tespit Sistemi ve Yöntemi	Can Eren				Bu buluþ, mobil numara taþýnabilirliði sisteminden faydalanarak numarasýný baþka bir GSM operatörüne taþýyan aboneler içerisinde mobil numara taþýnabilirliði sistemini suistimal eden, farklý bir amaçla yanýltýcý numara taþýma gerçekleþtiren þahýs veya partilerin tespit edilmesini saðlayan bir sistem ve yöntemle ilgilidir.
2010	2010/10950	Bir Ýçerik Satýn Alma Sistemi ve Yöntemi	Ozan Uysal - Osman Kara				Bu buluþ, mobil cihazlara indirilen elektronik içeriklerin sadece izin verilen cihazlarda kullanýlmasýna olanak saðlayan bir içerik satýn alma sistemi ve yöntemi ile ilgilidir. 
2010	2010/10949	Kontrol Grubu Ýle Strateji Belirleme Sistemi ve Yöntemi	Olcay Atlýoðlu				Bu buluþ, içeri açýlan kampanyalarda kontrol grubu oluþturulmasý ile verimliliðin ölçülmesi ve elde edilen sonuçlar doðrultusunda stratejilerin belirlenmesini saðlayan bir sistem ve yöntemle ilgilidir. 
2010	2010/10948	Bilgisayar Programý Büyüklüðünün Ýþlev Puan Bazlý Belirlenmesini Saðlayan Sistem ve Yöntem	Selami Baðrýyanýk				Bu buluþ, her türlü sistem için bilgisayar programý geliþtirirken analiz ve tasarým dokümanlarý ve konu uzmaný desteði kullanýlarak program büyüklüðünün iþlev puan bazlý bilgisayar programý yardýmýyla belirlenmesini saðlayan bir sistem ve yöntemle ilgilidir. 
2010	2010/11024	Banka Kartlarý ve Kredi Kartlarý Ýçin Kartsýz Alýþveriþ Güvenliði Saðlama Sistemi ve Yöntemi	Taner Þener				Bu buluþ, banka kartý ve kredi kartý ile internet, telefon ya da posta üzerinden alýþveriþ yapýlýrken ortaya çýkan güvenlik sorunlarýný mobil imza ile ortadan kaldýran bir sistem ve yöntemle ilgilidir.
2010	2010/11108	Etkin Kampanya Yönetim Sistemi ve Yöntemi	Olcay Atlýoðlu				Bu buluþ, içer açýlan kampanyalarda müþteriye bir kampanyadan neden yararlanmadýðýnýn sebeplerinin gösterilmesi ve bir kampanyanýn getirilerinden yararlanýlmasý için en uygun yolun önerilmesini saðlayan etkin kampanya  yönetim sistemi ve yöntemi ile ilgilidir. 
2010	2010/11107	Çipli Kartlarda Kart Sahibinin Doðrulamasýný Saðlayan Sistem ve Yöntem	Taner Þener				Bu buluþ, çipli kartlarýn POS cihazlarýnda kullanýmýnda kart sahibini doðrulamak için mobil imzanýn kullanýlmasýný saðlayan bir sistem ve yöntemle ilgilidir.
2010	2010/11179	Bir Akýllý Yönlendirme Sistemi ve Yöntemi	Mehmet Cem Yücel				Bu buluþ, GSM kullanýcýlarýnýn aygýtlarýna çeþitli sebeplerle çaðrý almak istemediklerinde veya alamadýklarýnda karþýlarýndaki kullaýnýcýyý bu durum hakkýnda bilgilendiren bir sistem ve yöntemle ilgilidir.
2010	2010/11180	Otomatik Görsellik Seçimi Ýçin Bir Sistem ve Yöntem	Özgür Rahmi Dönmez - Kemal Yýlmaz - Özer Þentürk				Bu buluþ, mobil cihazlarda ekran kalitesi farklýlýklarýndan dolayý oluþan gösterim problemlerini gidermek için geliþtirilen bir sistem ve yöntemle ilgilidir. 
2010	2010/11178	GSM Sistemleri Ýçin Bir Otomatik Alarm Filtreleme Sistemi ve Yöntemi	Sevcen Sökmen - Onur Sarkan				Bu buluþ, GSM sistemlerinde ayný kaynaktan eþzamanlý gelen hata ve uyarý alarmlarýndan birbirleriyle iliþkili alarm tiplerinin bulunmasý ve söz konusu iliþkili alarm tiplerinden kök neden alarm tipinin seçilip diðer alarmlarýn filtrelenmesini saðlayan bir sistem ve yöntemle ilgilidir. 
2010	2010/11257	Uygulamalarda Ortam Tabanlý Hiyerarþik Yapýlandýrma Yöntemi Ýçin Bir Sistem ve Yöntem	Özgür Rahmi Dönmez - Kemal Yýlmaz - Özer Þentürk				Bu buluþ yapýlandýrmalar sýrasýnda öncelik sýrasý da gözetilerek bir hiyerarþi kurulabilen, uygulamanýn çalýþtýðý ortam algýlanarak gerekli yapýlandýrma deðerinin otomatik olarak algýlabilmesini saðlayan uygulamalarda ortam tabanlý ve hiyerarþik yapýlandýrma yöntemine olanak saðlayan bir sistem ve yöntem ile ilgilidir. 
2010	2010/11256	Bir Uygulama Geliþtirme ve Çalýþtýrma Sistemi ve Yöntemi	Özgür Rahmi Dönmez - Kemal Yýlmaz - Özer Þentürk				Bu buluþ, uygulama mimarisinin modüler olarak tasarlanmasý ve hiyerarþik baðýmlýlýk kavramý gözetilerek çalýþtýrýlmasý sayesinde modüllerin diðer projelerde baðýmsýz olarak kullanýlabilmesine, her modüldeki sorunun izole olarak çözülebilmesine, modüller parelel çalýþtýrýlarak cihzlardan daha iyi performans alýnmasýna olanak saðlayan bir sistem ve yöntemle ilgilidir. 
2010	2010/11275	Bir Program Geliþtirme ve Kontrol Etme Sistemi ve Yöntemi	Nuray Þevval Eruz				Bu buluþ, müþteri talepleri doðrultusunda bilgisayar programlarýnýn oluþturulmasýný ve oluþturulan bilgisayar programlarýnýn ontrol edilmesini saðlayan bir sistem ve yöntemle ilgilidir.
2010	2010/11276	Bir Deðerlendirme Sistemi ve Yöntemi	Ýpek Köse				Bu buluþ, bilgisayar programý geliþtirme yaþam döngüsü içerisinde, geliþtirme adýmýnda yazýlan test senaryolarýnýn koþulmadan önce daha önceden belirlenmiþ standartlara uygun olup olmadýðýnýn deðerlendirilmesini saðlayan bir sistem ve yöntemle ilgilidir. 
2010	2010/11277	Bir Test Aðýrlýðý Belirleme Sistemi ve Yöntemi	Volkan Þeçginli - Serkan Akoðlanoðlu - Merve Sakarya				Bu buluþ, bilgisayar programlarýnýn hatalara karþý denetlenmesinde hangi test senaryosunun ne kadar aðýrlýkta kullanýlmasý gerektiðinin belirlenmesini saðlayan bir test aðýrlýðý belirleme sistemi ve yöntemi ile ilgilidir. 
2010	2010/11278	Gerçek Zamanlý GSM Að Verisinin Ýþlenmesini Saðlayan Sistem ve Yöntem	Ahmet Fuat Süngür				Bu buluþ, gerçek zamanlý akan veriyi daðýtýk ve yüksek eriþilebilir bir ortamda çok hýzlý iþleyerek üzerinde analitik sorgularýn çalýþmasýný saðlayan bir sistem ve yöntemle ilgilidir.
2010	2010/11255	Dikgen Frekans Bölmeli Bir Sinyal Çoðullama Sistemi	Lerzan Özkan				Bu buluþ, 3G, 4G ve kablosuz veri iletiþim aðlarýnda kullanýlan sinyallerin çoðaltýlmasý ve modülasyonunu saðlayan ortogonal frekans bölmeli bir sinyal çoðullama sistemi ile ilgilidir.
2010	2010/11252	CRM Sistemleri Ýçin Bir Kural Oluþturma ve Ýþleme Sistemi ve Yöntemi	Cem Omurtak				Bu buluþ, müþterinin taleplerinin ve ihtiyaçlarýnýn organize edildiði CRM sistemleri için bir kural oluþturma ve iþleme sistemi ve yöntemi ile ilgilidir. 
2010	2010/11253	Operatör Destekli 3G Yayýn Gerçekleþtirilen Bir Sistem ve Yöntem	Rahmi Cem Çevikbaþ				Bu buluþ, GSM bant geniþliðinin yeterli olmadýðý bir durumda anlýk gezgin trafiðini, yoðunluðun diðer baz istasyonlarýna göre daha az olduðu istasyonlara yönlendirerek veri aktarýmýný gerçekleþtiren bir sistem ve yöntemle ilgilidir. 
							
2011	2011/02819	Dahili Dolaþýmcý Olan Abonelerin Daðýlýmýný Tahmin Eden Bir Sistem ve Yöntem	Bahri Okuroðlu				GSM þebekelerinde hizmet verilen dahili dolaþýmcý olan yerli ve/veya yabancý abonelerin daðýlýmýný tahmin eden bir sistem ve yöntemle ilgilidir.
2011	2011/02878	Harici Dolaþýmcý Olan Abonelerin Daðýlýmýný Tahmin Eden Bir Sistem ve Yöntem	Bahri Okuroðlu				Rakip operatörlerin ülke dýþýndaki dolaþýmdaki abonelerinin daðýlýmýný ve sayýsýný gerçeðe yakýn bir þekilde tahmin etmeyi saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/03007	Bir LAC Temelli Kazara Uluslararasý Dolaþým Önleme Sistemi ve Yöntemi	Bahri Okuroðlu				Mobil iletiþim için küresel sistem abonelerinin kendi ülke sýnýrlarý civarýnda iken kazara komþu ülke operatörlerinden servis almasýný engelleyen bir LAC temelli sistem ve yöntemle ilgilidir.
2011	2011/03010	Birleþik Olasýlýk Ýhtimalleri Vasýtasýyla Otomatik Alarm Filtresi Üretim Sistemi ve Yöntemi	Onur Sarkan-Sevcen Sökmen				Alarm üreten her türden þebekede ayný kaynaktan eþ zamanlý gelen alarm tiplerini birleþik olasýlýk ihtimalleri ile inceleyerek birbirleri ile iliþkili alarm tiplerini bulan ve bu alarmlarýn hepsini filtreleyerek bu alarmlar yerine filtrelenen alarmlarýn birleþtirilmesi ile tek bir alarm üreten ve gözlemlenen alarm sayýsýný azaltan bir sistem ve yöntemle ilgilidir.
2011	2011/03008	PHI Katsayýsý Hesaplama Yöntemi Vasýtasýyla Otomatik Alarm Filtresi Üretim Sistemi ve Yöntemi	Onur Sarkan-Sevcen Sökmen				Alarm üreten her türden þebekede ayný kaynaktan eþ zamanlý gelen alarm tiplerini phi katsayýsý hesaplama yöntemi ile inceleyerek birbirleri ile iliþkili alarm tiplerini bulan ve bu alarmlarýn hepsini filtreleyerek bu alarmlar yerine filtrelenen alarmlarýn birleþtirilmesi ile tek bir alarm üreten ve gözlemlenen alarm sayýsýný azaltan bir sistem ve yöntemle ilgilidir.
2011	2011/03009	Acil Durum Çaðrýlarýnýn Yapýlmasý Ýçin Bir Sistem ve Yöntem	Engin Çallý				USSD tabanlý bir arayüz üzerinden bulunan coðrafi nokta ve ihtiyaç tipi göz önüne alýnarak acil durum çaðrýlarýnýn yapýlabilmesini saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/03061	Test Verisi Derlemek Ýçin Bir Sistem ve Yöntem	Yýldýray Elmacý				Veri tabanlarýndan ve diðer entegre sistemlerden tutarlý ve geçerli test verisi derlemeyi saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/03060	Bir Test Otomasyon Sistemi ve Yöntemi	Engin Þayan				Gerçek test mühendislerinin yardýmýyla ayarlanan ve alýnan aksiyonlarý tarihsel veri tabanýnda saklayýp deðerlendirerek regresyon testlerini kendiliðinden koþabilen bir sistem ve yöntemle ilgilidir.
2011	2011/03115	CRM Uygulamalarý Ýçin Test Verisi Bulmaya Yarayan Bir Sistem ve Yöntem	Ercan Okumuþ				CRM uygulamalarý içinde yapýlacak testlerde kullanýlacak uygun test verisinin bulunmasýný saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/03114	Bir Veri Oraný Deðiþimini Algýlama Sistemi ve Yöntemi	Fatih Lütfi Feran				Bir bilgi sistemi altyapýsýndan gerçek zamanlý olarak akan verinin gözlemlenerek alýþýlagelmiþ veri kalýbýnýn dýþýna çýkýþlarý belirleyen bir sistem ve yöntemle ilgilidir.
2011	2011/03113	Bir Test Senaryo Öneri Verme Sistemi ve Yöntemi	Bülent Bozdemir -Erkan Sertoðlu				Uygulama geliþtirme yaþam döngüsü içinde önemli bir adým olan test gerçekleþtirme sürecinde kullanýlan senaryolarýn otomatik olarak seçilmesini saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/04681	Bir Þifreli Kýsa Mesaj Gönderim Sistemi ve Yöntemi	Ozan Uysal				GSM þebekesinde yapýlan kýsa mesaj haberleþmesinde her bir mesaj için ayrý bir þifreleme iþleminin gerçekleþtirilmesini saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/05744	M2M Araç Sistemlerinde Kullanýlan Bir Hata ve/veya Durum Mesajý Ýletme Sistemi ve Yöntemi	Taner Badem				M2M araç sistemlerinde GSM gibi cep telefonu iletiþim protokolleri tarafýndan saðlanan mobil internet ile aracýn hata ve durum mesajlarýnýn internet üstünden istenilen birime iletilmesini saðlayan bir hata ve/veya durum mesajý iletme sistemi ve yöntemi ile ilgilidir.
2011	2011/06051	Bir Bilet Sorgulama Sistemi ve Yöntemi	Türkmen Mustafa Demirci				Herhangi bir mobil cihaz kullanýcýsýnýn mobil cihazýndan göndereceði bir SMS vasýtasýyla ulaþým bileti sorgulamasý yapýlmasýný saðlayan bir bilet sorgulama sistemi ve yöntemi ile ilgilidir.
2011	2011/06206	Yarý Formatlý Kayýtlarý (Log) Çok Boyutlu Yapýya Dönüþtüren Bir Sistem ve Yöntem	Fatih Lütfi Feran				Yýðýn veri iþleme sistemlerine girdi olarak ulaþan yarý sabit formatlý metin dosyalarýnýn yapýlarýndaki boyut bilgilerini belirleyen bir sistem ve yöntemle ilgilidir. 
2011	2011/06207	Veri Tabaný Destekli Toplu Dosya Karýþtýrýlmasýnda Kullanýlan Bir Sistem ve Yöntem	Kenan Þen				Mobil iletiþim firmalarýnýn sürekli deðiþen ücretlendirme sistemlerinde iþlenen büyük yýðýnlar halindeki kullaným kayýtlarýnýn doðruluðunun saptanmasýný saðlayan bir sistem ve yöntemle ilgilidir.
2011	2011/06243	Çift Taraflý Bir Gösterim Paneli	Mehmet Cem Yücel				Elektronik cihazlarda bulunan giriþ aygýtlarý ve ekranlar yardýmýyla eþzamanlý bir görüntü iþleme sonucu elde edilen çift taraflý bir gösterim paneli ile ilgilidir. 
2011	2011/06244	Bir Metriklendirme Sistemi ve Yöntemi	Nursel Avcý				Her türlü sistem için geliþtirilen yazýlým sonrasý test sýrasýnda çýkan hatalarýn metriklendirilmesini saðlayan bir sistem ve yöntemle ilgilidir. 
